,Rank,Nation,Gold,Silver,Bronze,Total,year,season,host_country
0,1,Norway,4,7,6,17,1924,Winter,France
1,2,Finland,4,4,3,11,1924,Winter,France
2,3,Austria,2,1,0,3,1924,Winter,France
3,4,Switzerland,2,0,1,3,1924,Winter,France
4,5,United States,1,2,1,4,1924,Winter,France
5,6,Great Britain,1,1,2,4,1924,Winter,France
6,7,Sweden,1,1,0,2,1924,Winter,France
7,8,Canada,1,0,0,1,1924,Winter,France
8,9,France,0,0,3,3,1924,Winter,France
9,10,Belgium,0,0,1,1,1924,Winter,France
10,1,United States,45,27,27,99,1924,Summer,France
11,2,Finland,14,13,10,37,1924,Summer,France
12,3,France,13,15,10,38,1924,Summer,France
13,4,Great Britain,9,13,12,34,1924,Summer,France
14,5,Italy,8,3,5,16,1924,Summer,France
15,6,Switzerland,7,8,10,25,1924,Summer,France
16,7,Norway,5,2,3,10,1924,Summer,France
17,8,Sweden,4,13,12,29,1924,Summer,France
18,9,Netherlands,4,1,5,10,1924,Summer,France
19,10,Belgium,3,7,3,13,1924,Summer,France
20,11,Australia,3,1,2,6,1924,Summer,France
21,12,Denmark,2,5,2,9,1924,Summer,France
22,13,Hungary,2,3,4,9,1924,Summer,France
23,14,Yugoslavia,2,0,0,2,1924,Summer,France
24,15,Czechoslovakia,1,4,5,10,1924,Summer,France
25,16,Argentina,1,3,2,6,1924,Summer,France
26,17,Estonia,1,1,4,6,1924,Summer,France
27,18,South Africa,1,1,1,3,1924,Summer,France
28,19,Uruguay,1,0,0,1,1924,Summer,France
29,20,Austria,0,3,1,4,1924,Summer,France
30,20,Canada,0,3,1,4,1924,Summer,France
31,22,Poland,0,1,1,2,1924,Summer,France
32,23,Haiti,0,0,1,1,1924,Summer,France
33,23,Japan,0,0,1,1,1924,Summer,France
34,23,New Zealand,0,0,1,1,1924,Summer,France
35,23,Portugal,0,0,1,1,1924,Summer,France
36,23,Romania,0,0,1,1,1924,Summer,France
37,1,Norway,6,4,5,15,1928,Winter,Switzerland
38,2,United States,2,2,2,6,1928,Winter,Switzerland
39,3,Sweden,2,2,1,5,1928,Winter,Switzerland
40,4,Finland,2,1,1,4,1928,Winter,Switzerland
41,5,Canada,1,0,0,1,1928,Winter,Switzerland
42,5,France,1,0,0,1,1928,Winter,Switzerland
43,7,Austria,0,3,1,4,1928,Winter,Switzerland
44,8,Belgium,0,0,1,1,1928,Winter,Switzerland
45,8,Czechoslovakia,0,0,1,1,1928,Winter,Switzerland
46,8,Germany,0,0,1,1,1928,Winter,Switzerland
47,8,Great Britain,0,0,1,1,1928,Winter,Switzerland
48,8,Switzerland,0,0,1,1,1928,Winter,Switzerland
49,1,United States,22,18,16,56,1928,Summer,Netherlands
50,2,Germany,10,7,14,31,1928,Summer,Netherlands
51,3,Finland,8,8,9,25,1928,Summer,Netherlands
52,4,Sweden,7,6,12,25,1928,Summer,Netherlands
53,5,Italy,7,5,7,19,1928,Summer,Netherlands
54,6,Switzerland,7,4,4,15,1928,Summer,Netherlands
55,7,France,6,10,5,21,1928,Summer,Netherlands
56,8,Netherlands,6,9,4,19,1928,Summer,Netherlands
57,9,Hungary,4,5,0,9,1928,Summer,Netherlands
58,10,Canada,4,4,7,15,1928,Summer,Netherlands
59,11,Great Britain,3,10,7,20,1928,Summer,Netherlands
60,12,Argentina,3,3,1,7,1928,Summer,Netherlands
61,13,Denmark,3,1,2,6,1928,Summer,Netherlands
62,14,Czechoslovakia,2,5,2,9,1928,Summer,Netherlands
63,15,Japan,2,2,1,5,1928,Summer,Netherlands
64,16,Estonia,2,1,2,5,1928,Summer,Netherlands
65,17,Egypt,2,1,1,4,1928,Summer,Netherlands
66,18,Austria,2,0,1,3,1928,Summer,Netherlands
67,19,Australia,1,2,1,4,1928,Summer,Netherlands
68,19,Norway,1,2,1,4,1928,Summer,Netherlands
69,21,Poland,1,1,3,5,1928,Summer,Netherlands
70,21,Yugoslavia,1,1,3,5,1928,Summer,Netherlands
71,23,South Africa,1,0,2,3,1928,Summer,Netherlands
72,24,India,1,0,0,1,1928,Summer,Netherlands
73,24,Ireland,1,0,0,1,1928,Summer,Netherlands
74,24,New Zealand,1,0,0,1,1928,Summer,Netherlands
75,24,Spain,1,0,0,1,1928,Summer,Netherlands
76,24,Uruguay,1,0,0,1,1928,Summer,Netherlands
77,29,Belgium,0,1,2,3,1928,Summer,Netherlands
78,30,Chile,0,1,0,1,1928,Summer,Netherlands
79,30,Haiti,0,1,0,1,1928,Summer,Netherlands
80,32,Philippines,0,0,1,1,1928,Summer,Netherlands
81,32,Portugal,0,0,1,1,1928,Summer,Netherlands
82,1,United States,6,4,2,12,1932,Winter,USA
83,2,Norway,3,4,3,10,1932,Winter,USA
84,3,Sweden,1,2,0,3,1932,Winter,USA
85,4,Canada,1,1,5,7,1932,Winter,USA
86,5,Finland,1,1,1,3,1932,Winter,USA
87,6,Austria,1,1,0,2,1932,Winter,USA
88,7,France,1,0,0,1,1932,Winter,USA
89,8,Switzerland,0,1,0,1,1932,Winter,USA
90,9,Germany,0,0,2,2,1932,Winter,USA
91,10,Hungary,0,0,1,1,1932,Winter,USA
92,1,United States,41,32,30,103,1932,Summer,USA
93,2,Italy,12,12,12,36,1932,Summer,USA
94,3,France,10,5,4,19,1932,Summer,USA
95,4,Sweden,9,5,9,23,1932,Summer,USA
96,5,Japan,7,7,4,18,1932,Summer,USA
97,6,Hungary,6,4,5,15,1932,Summer,USA
98,7,Finland,5,8,12,25,1932,Summer,USA
99,8,Great Britain,4,7,5,16,1932,Summer,USA
100,9,Germany,3,12,5,20,1932,Summer,USA
101,10,Australia,3,1,1,5,1932,Summer,USA
102,11,Argentina,3,1,0,4,1932,Summer,USA
103,12,Canada,2,5,8,15,1932,Summer,USA
104,13,Netherlands,2,5,0,7,1932,Summer,USA
105,14,Poland,2,1,4,7,1932,Summer,USA
106,15,South Africa,2,0,3,5,1932,Summer,USA
107,16,Ireland,2,0,0,2,1932,Summer,USA
108,17,Czechoslovakia,1,2,1,4,1932,Summer,USA
109,18,Austria,1,1,3,5,1932,Summer,USA
110,19,India,1,0,0,1,1932,Summer,USA
111,20,Denmark,0,3,3,6,1932,Summer,USA
112,21,Mexico,0,2,0,2,1932,Summer,USA
113,22,Latvia,0,1,0,1,1932,Summer,USA
114,22,New Zealand,0,1,0,1,1932,Summer,USA
115,22,Switzerland,0,1,0,1,1932,Summer,USA
116,25,Philippines,0,0,3,3,1932,Summer,USA
117,26,Spain,0,0,1,1,1932,Summer,USA
118,26,Uruguay,0,0,1,1,1932,Summer,USA
119,1,Norway,7,5,3,15,1936,Winter,Germany
120,2,Germany,3,3,0,6,1936,Winter,Germany
121,3,Sweden,2,2,3,7,1936,Winter,Germany
122,4,Finland,1,2,3,6,1936,Winter,Germany
123,5,Switzerland,1,2,0,3,1936,Winter,Germany
124,6,Austria,1,1,2,4,1936,Winter,Germany
125,7,Great Britain,1,1,1,3,1936,Winter,Germany
126,8,United States,1,0,3,4,1936,Winter,Germany
127,9,Canada,0,1,0,1,1936,Winter,Germany
128,10,France,0,0,1,1,1936,Winter,Germany
129,10,Hungary,0,0,1,1,1936,Winter,Germany
130,1,Germany,38,31,32,101,1936,Summer,Germany
131,2,United States,24,21,12,57,1936,Summer,Germany
132,3,Hungary,10,1,5,16,1936,Summer,Germany
133,4,Italy,9,13,5,27,1936,Summer,Germany
134,5,Finland,8,5,6,19,1936,Summer,Germany
135,6,France,7,6,6,19,1936,Summer,Germany
136,7,Sweden,6,5,10,21,1936,Summer,Germany
137,8,Japan,6,4,10,20,1936,Summer,Germany
138,9,Netherlands,6,4,7,17,1936,Summer,Germany
139,10,Austria,5,7,5,17,1936,Summer,Germany
140,11,Switzerland,4,9,5,18,1936,Summer,Germany
141,12,Great Britain,4,7,3,14,1936,Summer,Germany
142,13,Czechoslovakia,3,5,1,9,1936,Summer,Germany
143,14,Argentina,2,2,3,7,1936,Summer,Germany
144,14,Estonia,2,2,3,7,1936,Summer,Germany
145,16,Egypt,2,1,2,5,1936,Summer,Germany
146,17,Canada,1,3,5,9,1936,Summer,Germany
147,18,Norway,1,3,2,6,1936,Summer,Germany
148,19,Turkey,1,0,1,2,1936,Summer,Germany
149,20,India,1,0,0,1,1936,Summer,Germany
150,20,New Zealand,1,0,0,1,1936,Summer,Germany
151,22,Poland,0,4,5,9,1936,Summer,Germany
152,23,Denmark,0,2,3,5,1936,Summer,Germany
153,24,Latvia,0,1,1,2,1936,Summer,Germany
154,25,Romania,0,1,0,1,1936,Summer,Germany
155,25,South Africa,0,1,0,1,1936,Summer,Germany
156,25,Yugoslavia,0,1,0,1,1936,Summer,Germany
157,28,Belgium,0,0,3,3,1936,Summer,Germany
158,28,Mexico,0,0,3,3,1936,Summer,Germany
159,30,Australia,0,0,1,1,1936,Summer,Germany
160,30,Philippines,0,0,1,1,1936,Summer,Germany
161,30,Portugal,0,0,1,1,1936,Summer,Germany
162,1,United States,38,27,19,84,1948,Summer,England
163,2,Sweden,16,11,17,44,1948,Summer,England
164,3,France,10,6,13,29,1948,Summer,England
165,4,Hungary,10,5,12,27,1948,Summer,England
166,5,Italy,8,11,8,27,1948,Summer,England
167,6,Finland,8,7,5,20,1948,Summer,England
168,7,Turkey,6,4,2,12,1948,Summer,England
169,8,Czechoslovakia,6,2,3,11,1948,Summer,England
170,9,Switzerland,5,10,5,20,1948,Summer,England
171,10,Denmark,5,7,8,20,1948,Summer,England
172,11,Netherlands,5,2,9,16,1948,Summer,England
173,12,Great Britain,3,14,6,23,1948,Summer,England
174,13,Argentina,3,3,1,7,1948,Summer,England
175,14,Australia,2,6,5,13,1948,Summer,England
176,15,Belgium,2,2,3,7,1948,Summer,England
177,16,Egypt,2,2,1,5,1948,Summer,England
178,17,Mexico,2,1,2,5,1948,Summer,England
179,18,South Africa,2,1,1,4,1948,Summer,England
180,19,Norway,1,3,3,7,1948,Summer,England
181,20,Jamaica,1,2,0,3,1948,Summer,England
182,21,Austria,1,0,3,4,1948,Summer,England
183,22,India,1,0,0,1,1948,Summer,England
184,22,Peru,1,0,0,1,1948,Summer,England
185,24,Yugoslavia,0,2,0,2,1948,Summer,England
186,25,Canada,0,1,2,3,1948,Summer,England
187,26,Portugal,0,1,1,2,1948,Summer,England
188,26,Uruguay,0,1,1,2,1948,Summer,England
189,28,Ceylon,0,1,0,1,1948,Summer,England
190,28,Cuba,0,1,0,1,1948,Summer,England
191,28,Spain,0,1,0,1,1948,Summer,England
192,28,Trinidad And Tobago,0,1,0,1,1948,Summer,England
193,32,Panama,0,0,2,2,1948,Summer,England
194,32,South Korea,0,0,2,2,1948,Summer,England
195,34,Brazil,0,0,1,1,1948,Summer,England
196,34,Iran,0,0,1,1,1948,Summer,England
197,34,Poland,0,0,1,1,1948,Summer,England
198,34,Puerto Rico,0,0,1,1,1948,Summer,England
199,1,Norway,4,3,3,10,1948,Winter,Switzerland
200,1,Sweden,4,3,3,10,1948,Winter,Switzerland
201,3,Switzerland,3,4,3,10,1948,Winter,Switzerland
202,4,United States,3,4,2,9,1948,Winter,Switzerland
203,5,France,2,1,2,5,1948,Winter,Switzerland
204,6,Canada,2,0,1,3,1948,Winter,Switzerland
205,7,Austria,1,3,4,8,1948,Winter,Switzerland
206,8,Finland,1,3,2,6,1948,Winter,Switzerland
207,9,Belgium,1,1,0,2,1948,Winter,Switzerland
208,10,Italy,1,0,0,1,1948,Winter,Switzerland
209,11,Czechoslovakia,0,1,0,1,1948,Winter,Switzerland
210,11,Hungary,0,1,0,1,1948,Winter,Switzerland
211,13,Great Britain,0,0,2,2,1948,Winter,Switzerland
212,1,Norway,7,3,6,16,1952,Winter,Norway
213,2,United States,4,6,1,11,1952,Winter,Norway
214,3,Finland,3,4,2,9,1952,Winter,Norway
215,4,Germany,3,2,2,7,1952,Winter,Norway
216,5,Austria,2,4,2,8,1952,Winter,Norway
217,6,Canada,1,0,1,2,1952,Winter,Norway
218,6,Italy,1,0,1,2,1952,Winter,Norway
219,8,Great Britain,1,0,0,1,1952,Winter,Norway
220,9,Netherlands,0,3,0,3,1952,Winter,Norway
221,10,Sweden,0,0,4,4,1952,Winter,Norway
222,11,Switzerland,0,0,2,2,1952,Winter,Norway
223,12,France,0,0,1,1,1952,Winter,Norway
224,12,Hungary,0,0,1,1,1952,Winter,Norway
225,1,United States,40,19,17,76,1952,Summer,Finland
226,2,Soviet Union,22,30,19,71,1952,Summer,Finland
227,3,Hungary,16,10,16,42,1952,Summer,Finland
228,4,Sweden,12,13,10,35,1952,Summer,Finland
229,5,Italy,8,9,4,21,1952,Summer,Finland
230,6,Czechoslovakia,7,3,3,13,1952,Summer,Finland
231,7,France,6,6,6,18,1952,Summer,Finland
232,8,Finland,6,3,13,22,1952,Summer,Finland
233,9,Australia,6,2,3,11,1952,Summer,Finland
234,10,Norway,3,2,0,5,1952,Summer,Finland
235,11,Switzerland,2,6,6,14,1952,Summer,Finland
236,12,South Africa,2,4,4,10,1952,Summer,Finland
237,13,Jamaica,2,3,0,5,1952,Summer,Finland
238,14,Belgium,2,2,0,4,1952,Summer,Finland
239,15,Denmark,2,1,3,6,1952,Summer,Finland
240,16,Turkey,2,0,1,3,1952,Summer,Finland
241,17,Japan,1,6,2,9,1952,Summer,Finland
242,18,Great Britain,1,2,8,11,1952,Summer,Finland
243,19,Argentina,1,2,2,5,1952,Summer,Finland
244,20,Poland,1,2,1,4,1952,Summer,Finland
245,21,Canada,1,2,0,3,1952,Summer,Finland
246,21,Yugoslavia,1,2,0,3,1952,Summer,Finland
247,23,Romania,1,1,2,4,1952,Summer,Finland
248,24,Brazil,1,0,2,3,1952,Summer,Finland
249,24,New Zealand,1,0,2,3,1952,Summer,Finland
250,26,India,1,0,1,2,1952,Summer,Finland
251,27,Luxembourg,1,0,0,1,1952,Summer,Finland
252,28,Germany,0,7,17,24,1952,Summer,Finland
253,29,Netherlands,0,5,0,5,1952,Summer,Finland
254,30,Iran,0,3,4,7,1952,Summer,Finland
255,31,Chile,0,2,0,2,1952,Summer,Finland
256,32,Austria,0,1,1,2,1952,Summer,Finland
257,32,Lebanon,0,1,1,2,1952,Summer,Finland
258,34,Ireland,0,1,0,1,1952,Summer,Finland
259,34,Mexico,0,1,0,1,1952,Summer,Finland
260,34,Spain,0,1,0,1,1952,Summer,Finland
261,37,South Korea,0,0,2,2,1952,Summer,Finland
262,37,Trinidad And Tobago,0,0,2,2,1952,Summer,Finland
263,37,Uruguay,0,0,2,2,1952,Summer,Finland
264,40,Bulgaria,0,0,1,1,1952,Summer,Finland
265,40,Egypt,0,0,1,1,1952,Summer,Finland
266,40,Portugal,0,0,1,1,1952,Summer,Finland
267,40,Venezuela,0,0,1,1,1952,Summer,Finland
268,1,Soviet Union,7,3,6,16,1956,Winter,Italy
269,2,Austria,4,3,4,11,1956,Winter,Italy
270,3,Finland,3,3,1,7,1956,Winter,Italy
271,4,Switzerland,3,2,1,6,1956,Winter,Italy
272,5,Sweden,2,4,4,10,1956,Winter,Italy
273,6,United States,2,3,2,7,1956,Winter,Italy
274,7,Norway,2,1,1,4,1956,Winter,Italy
275,8,Italy,1,2,0,3,1956,Winter,Italy
276,9,United Team Of Germany,1,0,1,2,1956,Winter,Italy
277,10,Canada,0,1,2,3,1956,Winter,Italy
278,11,Japan,0,1,0,1,1956,Winter,Italy
279,12,Hungary,0,0,1,1,1956,Winter,Italy
280,12,Poland,0,0,1,1,1956,Winter,Italy
281,1,Soviet Union,37,29,32,98,1956,Summer,Australia
282,2,United States,32,25,17,74,1956,Summer,Australia
283,3,Australia,13,8,14,35,1956,Summer,Australia
284,4,Hungary,9,10,7,26,1956,Summer,Australia
285,5,Italy,8,8,9,25,1956,Summer,Australia
286,6,Sweden,8,5,6,19,1956,Summer,Australia
287,7,United Team Of Germany,6,13,7,26,1956,Summer,Australia
288,8,Great Britain,6,7,11,24,1956,Summer,Australia
289,9,Romania,5,3,5,13,1956,Summer,Australia
290,10,Japan,4,10,5,19,1956,Summer,Australia
291,11,France,4,4,6,14,1956,Summer,Australia
292,12,Turkey,3,2,2,7,1956,Summer,Australia
293,13,Finland,3,1,11,15,1956,Summer,Australia
294,14,Iran,2,2,1,5,1956,Summer,Australia
295,15,Canada,2,1,3,6,1956,Summer,Australia
296,16,New Zealand,2,0,0,2,1956,Summer,Australia
297,17,Poland,1,4,4,9,1956,Summer,Australia
298,18,Czechoslovakia,1,4,1,6,1956,Summer,Australia
299,19,Bulgaria,1,3,1,5,1956,Summer,Australia
300,20,Denmark,1,2,1,4,1956,Summer,Australia
301,21,Ireland,1,1,3,5,1956,Summer,Australia
302,22,Norway,1,0,2,3,1956,Summer,Australia
303,23,Mexico,1,0,1,2,1956,Summer,Australia
304,24,Brazil,1,0,0,1,1956,Summer,Australia
305,24,India,1,0,0,1,1956,Summer,Australia
306,26,Yugoslavia,0,3,0,3,1956,Summer,Australia
307,27,Chile,0,2,2,4,1956,Summer,Australia
308,28,Belgium,0,2,0,2,1956,Summer,Australia
309,29,Argentina,0,1,1,2,1956,Summer,Australia
310,29,South Korea,0,1,1,2,1956,Summer,Australia
311,31,Iceland,0,1,0,1,1956,Summer,Australia
312,31,Pakistan,0,1,0,1,1956,Summer,Australia
313,33,South Africa,0,0,4,4,1956,Summer,Australia
314,34,Austria,0,0,2,2,1956,Summer,Australia
315,35,Bahamas,0,0,1,1,1956,Summer,Australia
316,35,Greece,0,0,1,1,1956,Summer,Australia
317,35,Switzerland,0,0,1,1,1956,Summer,Australia
318,35,Uruguay,0,0,1,1,1956,Summer,Australia
319,1,Soviet Union,7,5,9,21,1960,Winter,USA
320,2,United Team Of Germany,4,3,1,8,1960,Winter,USA
321,3,United States,3,4,3,10,1960,Winter,USA
322,4,Norway,3,3,0,6,1960,Winter,USA
323,5,Sweden,3,2,2,7,1960,Winter,USA
324,6,Finland,2,3,3,8,1960,Winter,USA
325,7,Canada,2,1,1,4,1960,Winter,USA
326,8,Switzerland,2,0,0,2,1960,Winter,USA
327,9,Austria,1,2,3,6,1960,Winter,USA
328,10,France,1,0,2,3,1960,Winter,USA
329,11,Netherlands,0,1,1,2,1960,Winter,USA
330,11,Poland,0,1,1,2,1960,Winter,USA
331,13,Czechoslovakia,0,1,0,1,1960,Winter,USA
332,14,Italy,0,0,1,1,1960,Winter,USA
333,1,Soviet Union,43,29,31,103,1960,Summer,Italy
334,2,United States,34,21,16,71,1960,Summer,Italy
335,3,Italy,13,10,13,36,1960,Summer,Italy
336,4,United Team Of Germany,12,19,11,42,1960,Summer,Italy
337,5,Australia,8,8,6,22,1960,Summer,Italy
338,6,Turkey,7,2,0,9,1960,Summer,Italy
339,7,Hungary,6,8,7,21,1960,Summer,Italy
340,8,Japan,4,7,7,18,1960,Summer,Italy
341,9,Poland,4,6,11,21,1960,Summer,Italy
342,10,Czechoslovakia,3,2,3,8,1960,Summer,Italy
343,11,Romania,3,1,6,10,1960,Summer,Italy
344,12,Great Britain,2,6,12,20,1960,Summer,Italy
345,13,Denmark,2,3,1,6,1960,Summer,Italy
346,14,New Zealand,2,0,1,3,1960,Summer,Italy
347,15,Bulgaria,1,3,3,7,1960,Summer,Italy
348,16,Sweden,1,2,3,6,1960,Summer,Italy
349,17,Finland,1,1,3,5,1960,Summer,Italy
350,18,Austria,1,1,0,2,1960,Summer,Italy
351,18,Yugoslavia,1,1,0,2,1960,Summer,Italy
352,20,Pakistan,1,0,1,2,1960,Summer,Italy
353,21,Ethiopia,1,0,0,1,1960,Summer,Italy
354,21,Greece,1,0,0,1,1960,Summer,Italy
355,21,Norway,1,0,0,1,1960,Summer,Italy
356,24,Switzerland,0,3,3,6,1960,Summer,Italy
357,25,France,0,2,3,5,1960,Summer,Italy
358,26,Belgium,0,2,2,4,1960,Summer,Italy
359,27,Iran,0,1,3,4,1960,Summer,Italy
360,28,Netherlands,0,1,2,3,1960,Summer,Italy
361,28,South Africa,0,1,2,3,1960,Summer,Italy
362,30,Argentina,0,1,1,2,1960,Summer,Italy
363,30,Egypt,0,1,1,2,1960,Summer,Italy
364,32,Canada,0,1,0,1,1960,Summer,Italy
365,32,Formosa,0,1,0,1,1960,Summer,Italy
366,32,Ghana,0,1,0,1,1960,Summer,Italy
367,32,India,0,1,0,1,1960,Summer,Italy
368,32,Morocco,0,1,0,1,1960,Summer,Italy
369,32,Portugal,0,1,0,1,1960,Summer,Italy
370,32,Singapore,0,1,0,1,1960,Summer,Italy
371,39,Brazil,0,0,2,2,1960,Summer,Italy
372,39,British West Indies,0,0,2,2,1960,Summer,Italy
373,41,Iraq,0,0,1,1,1960,Summer,Italy
374,41,Mexico,0,0,1,1,1960,Summer,Italy
375,41,Spain,0,0,1,1,1960,Summer,Italy
376,41,Venezuela,0,0,1,1,1960,Summer,Italy
377,1,Soviet Union,11,8,6,25,1964,Winter,Austria
378,2,Austria,4,5,3,12,1964,Winter,Austria
379,3,Norway,3,6,6,15,1964,Winter,Austria
380,4,Finland,3,4,3,10,1964,Winter,Austria
381,5,France,3,4,0,7,1964,Winter,Austria
382,6,United Team Of Germany,3,3,3,9,1964,Winter,Austria
383,7,Sweden,3,3,1,7,1964,Winter,Austria
384,8,United States,1,2,4,7,1964,Winter,Austria
385,9,Canada,1,1,1,3,1964,Winter,Austria
386,10,Netherlands,1,1,0,2,1964,Winter,Austria
387,11,Great Britain,1,0,0,1,1964,Winter,Austria
388,12,Italy,0,1,3,4,1964,Winter,Austria
389,13,North Korea,0,1,0,1,1964,Winter,Austria
390,14,Czechoslovakia,0,0,1,1,1964,Winter,Austria
391,1,United States,36,26,28,90,1964,Summer,Japan
392,2,Soviet Union,30,31,35,96,1964,Summer,Japan
393,3,Japan,16,5,8,29,1964,Summer,Japan
394,4,United Team Of Germany,10,22,18,50,1964,Summer,Japan
395,5,Italy,10,10,7,27,1964,Summer,Japan
396,6,Hungary,10,7,5,22,1964,Summer,Japan
397,7,Poland,7,6,10,23,1964,Summer,Japan
398,8,Australia,6,2,10,18,1964,Summer,Japan
399,9,Czechoslovakia,5,6,3,14,1964,Summer,Japan
400,10,Great Britain,4,12,2,18,1964,Summer,Japan
401,11,Bulgaria,3,5,2,10,1964,Summer,Japan
402,12,Finland,3,0,2,5,1964,Summer,Japan
403,12,New Zealand,3,0,2,5,1964,Summer,Japan
404,14,Romania,2,4,6,12,1964,Summer,Japan
405,15,Netherlands,2,4,4,10,1964,Summer,Japan
406,16,Turkey,2,3,1,6,1964,Summer,Japan
407,17,Sweden,2,2,4,8,1964,Summer,Japan
408,18,Denmark,2,1,3,6,1964,Summer,Japan
409,19,Yugoslavia,2,1,2,5,1964,Summer,Japan
410,20,Belgium,2,0,1,3,1964,Summer,Japan
