,Rank,Nation,Gold,Silver,Bronze,Total,year,season,host_country
1241,28,Georgia,3,2,2,7,2008,Summer,China
1242,29,Kazakhstan,2,3,4,9,2008,Summer,China
1243,30,Denmark,2,2,3,7,2008,Summer,China
1244,31,North Korea,2,2,2,6,2008,Summer,China
1245,31,Thailand,2,2,2,6,2008,Summer,China
1246,33,Mongolia,2,2,0,4,2008,Summer,China
1247,34,Switzerland,2,1,4,7,2008,Summer,China
1248,35,Argentina,2,0,4,6,2008,Summer,China
1249,36,Mexico,2,0,2,4,2008,Summer,China
1250,37,Belgium,2,0,0,2,2008,Summer,China
1251,38,Zimbabwe,1,3,0,4,2008,Summer,China
1252,39,Slovenia,1,2,2,5,2008,Summer,China
1253,40,Azerbaijan,1,1,4,6,2008,Summer,China
1254,40,Indonesia,1,1,4,6,2008,Summer,China
1255,42,Bulgaria,1,1,3,5,2008,Summer,China
1256,42,Turkey,1,1,3,5,2008,Summer,China
1257,44,Chinese Taipei,1,1,2,4,2008,Summer,China
1258,44,Finland,1,1,2,4,2008,Summer,China
1259,46,Latvia,1,1,1,3,2008,Summer,China
1260,47,Dominican Republic,1,1,0,2,2008,Summer,China
1261,47,Estonia,1,1,0,2,2008,Summer,China
1262,47,Portugal,1,1,0,2,2008,Summer,China
1263,47,Trinidad And Tobago,1,1,0,2,2008,Summer,China
1264,51,India,1,0,2,3,2008,Summer,China
1265,52,Iran,1,0,1,2,2008,Summer,China
1266,53,Cameroon,1,0,0,1,2008,Summer,China
1267,53,Panama,1,0,0,1,2008,Summer,China
1268,53,Tunisia,1,0,0,1,2008,Summer,China
1269,56,Sweden,0,4,1,5,2008,Summer,China
1270,57,Lithuania,0,3,2,5,2008,Summer,China
1271,57,Nigeria,0,3,2,5,2008,Summer,China
1272,59,Croatia,0,2,3,5,2008,Summer,China
1273,60,Colombia,0,2,1,3,2008,Summer,China
1274,60,Greece,0,2,1,3,2008,Summer,China
1275,62,Armenia,0,1,4,5,2008,Summer,China
1276,63,Uzbekistan,0,1,3,4,2008,Summer,China
1277,64,Austria,0,1,2,3,2008,Summer,China
1278,64,Ireland,0,1,2,3,2008,Summer,China
1279,64,Kyrgyzstan,0,1,2,3,2008,Summer,China
1280,64,Serbia,0,1,2,3,2008,Summer,China
1281,68,Algeria,0,1,1,2,2008,Summer,China
1282,68,Bahamas,0,1,1,2,2008,Summer,China
1283,68,Morocco,0,1,1,2,2008,Summer,China
1284,68,Tajikistan,0,1,1,2,2008,Summer,China
1285,72,Chile,0,1,0,1,2008,Summer,China
1286,72,Ecuador,0,1,0,1,2008,Summer,China
1287,72,Iceland,0,1,0,1,2008,Summer,China
1288,72,Malaysia,0,1,0,1,2008,Summer,China
1289,72,Samoa,0,1,0,1,2008,Summer,China
1290,72,Singapore,0,1,0,1,2008,Summer,China
1291,72,South Africa,0,1,0,1,2008,Summer,China
1292,72,Sudan,0,1,0,1,2008,Summer,China
1293,72,Vietnam,0,1,0,1,2008,Summer,China
1294,81,Egypt,0,0,2,2,2008,Summer,China
1295,82,Afghanistan,0,0,1,1,2008,Summer,China
1296,82,Israel,0,0,1,1,2008,Summer,China
1297,82,Mauritius,0,0,1,1,2008,Summer,China
1298,82,Moldova,0,0,1,1,2008,Summer,China
1299,82,Togo,0,0,1,1,2008,Summer,China
1300,82,Venezuela,0,0,1,1,2008,Summer,China
1301,1,Canada,14,7,5,26,2010,Winter,Canada
1302,2,Germany,10,13,7,30,2010,Winter,Canada
1303,3,United States,9,15,13,37,2010,Winter,Canada
1304,4,Norway,9,8,6,23,2010,Winter,Canada
1305,5,South Korea,6,6,2,14,2010,Winter,Canada
1306,6,Switzerland,6,0,3,9,2010,Winter,Canada
1307,7,China,5,2,4,11,2010,Winter,Canada
1308,7,Sweden,5,2,4,11,2010,Winter,Canada
1309,9,Austria,4,6,6,16,2010,Winter,Canada
1310,10,Netherlands,4,1,3,8,2010,Winter,Canada
1311,11,Russia,3,5,7,15,2010,Winter,Canada
1312,12,France,2,3,6,11,2010,Winter,Canada
1313,13,Australia,2,1,0,3,2010,Winter,Canada
1314,14,Czech Republic,2,0,4,6,2010,Winter,Canada
1315,15,Poland,1,3,2,6,2010,Winter,Canada
1316,16,Italy,1,1,3,5,2010,Winter,Canada
1317,17,Belarus,1,1,1,3,2010,Winter,Canada
1318,17,Slovakia,1,1,1,3,2010,Winter,Canada
1319,19,Great Britain,1,0,0,1,2010,Winter,Canada
1320,20,Japan,0,3,2,5,2010,Winter,Canada
1321,21,Croatia,0,2,1,3,2010,Winter,Canada
1322,21,Slovenia,0,2,1,3,2010,Winter,Canada
1323,23,Latvia,0,2,0,2,2010,Winter,Canada
1324,24,Finland,0,1,4,5,2010,Winter,Canada
1325,25,Estonia,0,1,0,1,2010,Winter,Canada
1326,25,Kazakhstan,0,1,0,1,2010,Winter,Canada
1327,1,United States,47,27,30,104,2012,Summer,England
1328,2,China,38,31,22,91,2012,Summer,England
1329,3,Great Britain,29,18,18,65,2012,Summer,England
1330,4,Russia,20,21,27,68,2012,Summer,England
1331,5,South Korea,13,9,8,30,2012,Summer,England
1332,6,Germany,11,20,13,44,2012,Summer,England
1333,7,France,11,11,13,35,2012,Summer,England
1334,8,Australia,8,15,12,35,2012,Summer,England
1335,9,Italy,8,9,11,28,2012,Summer,England
1336,10,Hungary,8,4,6,18,2012,Summer,England
1337,11,Japan,7,14,17,38,2012,Summer,England
1338,12,Iran,7,5,1,13,2012,Summer,England
1339,13,Netherlands,6,6,8,20,2012,Summer,England
1340,14,New Zealand,6,2,5,13,2012,Summer,England
1341,15,Ukraine,5,4,10,19,2012,Summer,England
1342,16,Cuba,5,3,7,15,2012,Summer,England
1343,17,Spain,4,10,6,20,2012,Summer,England
1344,18,Jamaica,4,5,3,12,2012,Summer,England
1345,19,Czech Republic,4,3,4,11,2012,Summer,England
1346,20,South Africa,4,1,1,6,2012,Summer,England
1347,21,North Korea,4,0,3,7,2012,Summer,England
1348,22,Brazil,3,5,9,17,2012,Summer,England
1349,23,Kazakhstan,3,2,6,11,2012,Summer,England
1350,23,Poland,3,2,6,11,2012,Summer,England
1351,25,Ethiopia,3,2,3,8,2012,Summer,England
1352,26,Croatia,3,1,2,6,2012,Summer,England
1353,27,Canada,2,6,10,18,2012,Summer,England
1354,28,Belarus,2,5,3,10,2012,Summer,England
1355,29,Kenya,2,4,7,13,2012,Summer,England
1356,30,Denmark,2,4,3,9,2012,Summer,England
1357,31,Romania,2,4,1,7,2012,Summer,England
1358,32,Azerbaijan,2,2,5,9,2012,Summer,England
1359,33,Switzerland,2,2,0,4,2012,Summer,England
1360,34,Norway,2,1,1,4,2012,Summer,England
1361,35,Lithuania,2,0,3,5,2012,Summer,England
1362,36,Tunisia,2,0,1,3,2012,Summer,England
1363,37,Sweden,1,4,3,8,2012,Summer,England
1364,38,Colombia,1,3,5,9,2012,Summer,England
1365,39,Mexico,1,3,4,8,2012,Summer,England
1366,40,Georgia,1,2,3,6,2012,Summer,England
1367,41,Ireland,1,1,4,6,2012,Summer,England
1368,42,Argentina,1,1,2,4,2012,Summer,England
1369,42,Serbia,1,1,2,4,2012,Summer,England
1370,42,Slovenia,1,1,2,4,2012,Summer,England
1371,42,Trinidad And Tobago,1,1,2,4,2012,Summer,England
1372,46,Turkey,1,1,1,3,2012,Summer,England
1373,47,Dominican Republic,1,1,0,2,2012,Summer,England
1374,48,Chinese Taipei,1,0,1,2,2012,Summer,England
1375,48,Latvia,1,0,1,2,2012,Summer,England
1376,50,Algeria,1,0,0,1,2012,Summer,England
1377,50,Bahamas,1,0,0,1,2012,Summer,England
1378,50,Bahrain,1,0,0,1,2012,Summer,England
1379,50,Grenada,1,0,0,1,2012,Summer,England
1380,50,Uganda,1,0,0,1,2012,Summer,England
1381,50,Venezuela,1,0,0,1,2012,Summer,England
1382,56,Egypt,0,3,1,4,2012,Summer,England
1383,57,India,0,2,4,6,2012,Summer,England
1384,58,Mongolia,0,2,3,5,2012,Summer,England
1385,59,Thailand,0,2,2,4,2012,Summer,England
1386,60,Bulgaria,0,2,1,3,2012,Summer,England
1387,60,Finland,0,2,1,3,2012,Summer,England
1388,60,Indonesia,0,2,1,3,2012,Summer,England
1389,63,Slovakia,0,1,3,4,2012,Summer,England
1390,64,Belgium,0,1,2,3,2012,Summer,England
1391,65,Armenia,0,1,1,2,2012,Summer,England
1392,65,Estonia,0,1,1,2,2012,Summer,England
1393,65,Malaysia,0,1,1,2,2012,Summer,England
1394,65,Puerto Rico,0,1,1,2,2012,Summer,England
1395,65,Qatar,0,1,1,2,2012,Summer,England
1396,70,Botswana,0,1,0,1,2012,Summer,England
1397,70,Cyprus,0,1,0,1,2012,Summer,England
1398,70,Gabon,0,1,0,1,2012,Summer,England
1399,70,Guatemala,0,1,0,1,2012,Summer,England
1400,70,Montenegro,0,1,0,1,2012,Summer,England
1401,70,Portugal,0,1,0,1,2012,Summer,England
1402,76,Uzbekistan,0,0,3,3,2012,Summer,England
1403,77,Greece,0,0,2,2,2012,Summer,England
1404,77,Singapore,0,0,2,2,2012,Summer,England
1405,79,Afghanistan,0,0,1,1,2012,Summer,England
1406,79,Cameroon,0,0,1,1,2012,Summer,England
1407,79,Hong Kong,0,0,1,1,2012,Summer,England
1408,79,Kuwait,0,0,1,1,2012,Summer,England
1409,79,Morocco,0,0,1,1,2012,Summer,England
1410,79,Saudi Arabia,0,0,1,1,2012,Summer,England
1411,79,Tajikistan,0,0,1,1,2012,Summer,England
1412,79,Vietnam,0,0,1,1,2012,Summer,England
1413,1,Russia,11,9,9,29,2014,Winter,Russia
1414,2,Norway,11,5,10,26,2014,Winter,Russia
1415,3,Canada,10,10,5,25,2014,Winter,Russia
1416,4,United States,9,9,10,28,2014,Winter,Russia
1417,5,Netherlands,8,7,9,24,2014,Winter,Russia
1418,6,Germany,8,6,5,19,2014,Winter,Russia
1419,7,Switzerland,7,2,2,11,2014,Winter,Russia
1420,8,Belarus,5,0,1,6,2014,Winter,Russia
1421,9,Austria,4,8,5,17,2014,Winter,Russia
1422,10,France,4,4,7,15,2014,Winter,Russia
1423,11,Poland,4,1,1,6,2014,Winter,Russia
1424,12,China,3,4,2,9,2014,Winter,Russia
1425,13,South Korea,3,3,2,8,2014,Winter,Russia
1426,14,Sweden,2,7,6,15,2014,Winter,Russia
1427,15,Czech Republic,2,4,2,8,2014,Winter,Russia
1428,16,Slovenia,2,2,4,8,2014,Winter,Russia
1429,17,Japan,1,4,3,8,2014,Winter,Russia
1430,18,Finland,1,3,1,5,2014,Winter,Russia
1431,19,Great Britain,1,1,3,5,2014,Winter,Russia
1432,19,Latvia,1,1,3,5,2014,Winter,Russia
1433,21,Ukraine,1,0,1,2,2014,Winter,Russia
1434,22,Slovakia,1,0,0,1,2014,Winter,Russia
1435,23,Italy,0,2,6,8,2014,Winter,Russia
1436,24,Australia,0,2,1,3,2014,Winter,Russia
1437,25,Croatia,0,1,0,1,2014,Winter,Russia
1438,26,Kazakhstan,0,0,1,1,2014,Winter,Russia
1439,1,United States,46,37,38,121,2016,Summer,Brazil
1440,2,Great Britain,27,23,17,67,2016,Summer,Brazil
1441,3,China,26,18,26,70,2016,Summer,Brazil
1442,4,Russia,19,17,20,56,2016,Summer,Brazil
1443,5,Germany,17,10,15,42,2016,Summer,Brazil
1444,6,Japan,12,8,21,41,2016,Summer,Brazil
1445,7,France,10,18,14,42,2016,Summer,Brazil
1446,8,South Korea,9,3,9,21,2016,Summer,Brazil
1447,9,Italy,8,12,8,28,2016,Summer,Brazil
1448,10,Australia,8,11,10,29,2016,Summer,Brazil
1449,11,Netherlands,8,7,4,19,2016,Summer,Brazil
1450,12,Hungary,8,3,4,15,2016,Summer,Brazil
1451,13,Brazil,7,6,6,19,2016,Summer,Brazil
1452,14,Spain,7,4,6,17,2016,Summer,Brazil
1453,15,Kenya,6,6,1,13,2016,Summer,Brazil
1454,16,Jamaica,6,3,2,11,2016,Summer,Brazil
1455,17,Croatia,5,3,2,10,2016,Summer,Brazil
1456,18,Cuba,5,2,4,11,2016,Summer,Brazil
1457,19,New Zealand,4,9,5,18,2016,Summer,Brazil
1458,20,Canada,4,3,15,22,2016,Summer,Brazil
1459,21,Uzbekistan,4,2,7,13,2016,Summer,Brazil
1460,22,Kazakhstan,3,5,10,18,2016,Summer,Brazil
1461,23,Colombia,3,2,3,8,2016,Summer,Brazil
1462,24,Switzerland,3,2,2,7,2016,Summer,Brazil
1463,25,Iran,3,1,4,8,2016,Summer,Brazil
1464,26,Greece,3,1,2,6,2016,Summer,Brazil
1465,27,Argentina,3,1,0,4,2016,Summer,Brazil
1466,28,Denmark,2,6,7,15,2016,Summer,Brazil
1467,29,Sweden,2,6,3,11,2016,Summer,Brazil
1468,30,South Africa,2,6,2,10,2016,Summer,Brazil
1469,31,Ukraine,2,5,4,11,2016,Summer,Brazil
1470,32,Serbia,2,4,2,8,2016,Summer,Brazil
1471,33,Poland,2,3,6,11,2016,Summer,Brazil
1472,34,North Korea,2,3,2,7,2016,Summer,Brazil
1473,35,Belgium,2,2,2,6,2016,Summer,Brazil
1474,35,Thailand,2,2,2,6,2016,Summer,Brazil
1475,37,Slovakia,2,2,0,4,2016,Summer,Brazil
1476,38,Georgia,2,1,4,7,2016,Summer,Brazil
1477,39,Azerbaijan,1,7,10,18,2016,Summer,Brazil
1478,40,Belarus,1,4,4,9,2016,Summer,Brazil
1479,41,Turkey,1,3,4,8,2016,Summer,Brazil
1480,42,Armenia,1,3,0,4,2016,Summer,Brazil
1481,43,Czech Republic,1,2,7,10,2016,Summer,Brazil
1482,44,Ethiopia,1,2,5,8,2016,Summer,Brazil
1483,45,Slovenia,1,2,1,4,2016,Summer,Brazil
1484,46,Indonesia,1,2,0,3,2016,Summer,Brazil
1485,47,Romania,1,1,2,4,2016,Summer,Brazil
1486,48,Bahrain,1,1,0,2,2016,Summer,Brazil
1487,48,Vietnam,1,1,0,2,2016,Summer,Brazil
1488,50,Chinese Taipei,1,0,2,3,2016,Summer,Brazil
1489,51,Bahamas,1,0,1,2,2016,Summer,Brazil
1490,51,Independent Olympic Athletes,1,0,1,2,2016,Summer,Brazil
1491,51,Ivory Coast,1,0,1,2,2016,Summer,Brazil
1492,54,Fiji,1,0,0,1,2016,Summer,Brazil
1493,54,Jordan,1,0,0,1,2016,Summer,Brazil
1494,54,Kosovo,1,0,0,1,2016,Summer,Brazil
1495,54,Puerto Rico,1,0,0,1,2016,Summer,Brazil
1496,54,Singapore,1,0,0,1,2016,Summer,Brazil
1497,54,Tajikistan,1,0,0,1,2016,Summer,Brazil
1498,60,Malaysia,0,4,1,5,2016,Summer,Brazil
1499,61,Mexico,0,3,2,5,2016,Summer,Brazil
1500,62,Venezuela,0,2,1,3,2016,Summer,Brazil
1501,63,Algeria,0,2,0,2,2016,Summer,Brazil
1502,63,Ireland,0,2,0,2,2016,Summer,Brazil
1503,65,Lithuania,0,1,3,4,2016,Summer,Brazil
1504,66,Bulgaria,0,1,2,3,2016,Summer,Brazil
1505,67,India,0,1,1,2,2016,Summer,Brazil
1506,67,Mongolia,0,1,1,2,2016,Summer,Brazil
1507,69,Burundi,0,1,0,1,2016,Summer,Brazil
1508,69,Grenada,0,1,0,1,2016,Summer,Brazil
1509,69,Niger,0,1,0,1,2016,Summer,Brazil
1510,69,Philippines,0,1,0,1,2016,Summer,Brazil
1511,69,Qatar,0,1,0,1,2016,Summer,Brazil
1512,74,Norway,0,0,4,4,2016,Summer,Brazil
1513,75,Egypt,0,0,3,3,2016,Summer,Brazil
1514,75,Tunisia,0,0,3,3,2016,Summer,Brazil
1515,77,Israel,0,0,2,2,2016,Summer,Brazil
1516,78,Austria,0,0,1,1,2016,Summer,Brazil
1517,78,Dominican Republic,0,0,1,1,2016,Summer,Brazil
1518,78,Estonia,0,0,1,1,2016,Summer,Brazil
1519,78,Finland,0,0,1,1,2016,Summer,Brazil
1520,78,Morocco,0,0,1,1,2016,Summer,Brazil
1521,78,Nigeria,0,0,1,1,2016,Summer,Brazil
1522,78,Portugal,0,0,1,1,2016,Summer,Brazil
1523,78,Trinidad And Tobago,0,0,1,1,2016,Summer,Brazil
1524,78,United Arab Emirates,0,0,1,1,2016,Summer,Brazil
1525,1,Norway,14,14,11,39,2018,Winter,South Korea
1526,2,Germany,14,10,7,31,2018,Winter,South Korea
1527,3,Canada,11,8,10,29,2018,Winter,South Korea
1528,4,United States,9,8,6,23,2018,Winter,South Korea
1529,5,Netherlands,8,6,6,20,2018,Winter,South Korea
1530,6,Sweden,7,6,1,14,2018,Winter,South Korea
1531,7,South Korea,5,8,4,17,2018,Winter,South Korea
1532,8,Switzerland,5,6,4,15,2018,Winter,South Korea
1533,9,France,5,4,6,15,2018,Winter,South Korea
1534,10,Austria,5,3,6,14,2018,Winter,South Korea
1535,11,Japan,4,5,4,13,2018,Winter,South Korea
1536,12,Italy,3,2,5,10,2018,Winter,South Korea
1537,13,Olympic Athletes From Russia,2,6,9,17,2018,Winter,South Korea
1538,14,Czech Republic,2,2,3,7,2018,Winter,South Korea
1539,15,Belarus,2,1,0,3,2018,Winter,South Korea
1540,16,China,1,6,2,9,2018,Winter,South Korea
1541,17,Slovakia,1,2,0,3,2018,Winter,South Korea
1542,18,Finland,1,1,4,6,2018,Winter,South Korea
1543,19,Great Britain,1,0,4,5,2018,Winter,South Korea
1544,20,Poland,1,0,1,2,2018,Winter,South Korea
1545,21,Hungary,1,0,0,1,2018,Winter,South Korea
1546,21,Ukraine,1,0,0,1,2018,Winter,South Korea
1547,23,Australia,0,2,1,3,2018,Winter,South Korea
1548,24,Slovenia,0,1,1,2,2018,Winter,South Korea
1549,25,Belgium,0,1,0,1,2018,Winter,South Korea
1550,26,New Zealand,0,0,2,2,2018,Winter,South Korea
1551,26,Spain,0,0,2,2,2018,Winter,South Korea
1552,28,Kazakhstan,0,0,1,1,2018,Winter,South Korea
1553,28,Latvia,0,0,1,1,2018,Winter,South Korea
1554,28,Liechtenstein,0,0,1,1,2018,Winter,South Korea
1555,1,United States,39,41,33,113,2020,Summer,Japan
1556,2,China,38,32,18,88,2020,Summer,Japan
1557,3,Japan,27,14,17,58,2020,Summer,Japan
1558,4,Great Britain,22,21,22,65,2020,Summer,Japan
1559,5,Russia,20,28,23,71,2020,Summer,Japan
1560,6,Australia,17,7,22,46,2020,Summer,Japan
1561,7,Netherlands,10,12,14,36,2020,Summer,Japan
1562,8,France,10,12,11,33,2020,Summer,Japan
1563,9,Germany,10,11,16,37,2020,Summer,Japan
1564,10,Italy,10,10,20,40,2020,Summer,Japan
1565,11,Canada,7,6,11,24,2020,Summer,Japan
1566,12,Brazil,7,6,8,21,2020,Summer,Japan
1567,13,New Zealand,7,6,7,20,2020,Summer,Japan
1568,14,Cuba,7,3,5,15,2020,Summer,Japan
1569,15,Hungary,6,7,7,20,2020,Summer,Japan
1570,16,South Korea,6,4,10,20,2020,Summer,Japan
1571,17,Poland,4,5,5,14,2020,Summer,Japan
1572,18,Czech Republic,4,4,3,11,2020,Summer,Japan
1573,19,Kenya,4,4,2,10,2020,Summer,Japan
1574,20,Norway,4,2,2,8,2020,Summer,Japan
1575,21,Jamaica,4,1,4,9,2020,Summer,Japan
1576,22,Spain,3,8,6,17,2020,Summer,Japan
1577,23,Sweden,3,6,0,9,2020,Summer,Japan
1578,24,Switzerland,3,4,6,13,2020,Summer,Japan
1579,25,Denmark,3,4,4,11,2020,Summer,Japan
1580,26,Croatia,3,3,2,8,2020,Summer,Japan
1581,27,Iran,3,2,2,7,2020,Summer,Japan
1582,28,Serbia,3,1,5,9,2020,Summer,Japan
1583,29,Belgium,3,1,3,7,2020,Summer,Japan
1584,30,Bulgaria,3,1,2,6,2020,Summer,Japan
1585,31,Slovenia,3,1,1,5,2020,Summer,Japan
1586,32,Uzbekistan,3,0,2,5,2020,Summer,Japan
1587,33,Georgia,2,5,1,8,2020,Summer,Japan
1588,34,Chinese Taipei,2,4,6,12,2020,Summer,Japan
1589,35,Turkey,2,2,9,13,2020,Summer,Japan
1590,36,Greece,2,1,1,4,2020,Summer,Japan
1591,36,Uganda,2,1,1,4,2020,Summer,Japan
1592,38,Ecuador,2,1,0,3,2020,Summer,Japan
1593,39,Ireland,2,0,2,4,2020,Summer,Japan
1594,39,Israel,2,0,2,4,2020,Summer,Japan
1595,41,Qatar,2,0,1,3,2020,Summer,Japan
1596,42,Bahamas,2,0,0,2,2020,Summer,Japan
1597,42,Kosovo,2,0,0,2,2020,Summer,Japan
1598,44,Ukraine,1,6,12,19,2020,Summer,Japan
1599,45,Belarus,1,3,3,7,2020,Summer,Japan
1600,46,Romania,1,3,0,4,2020,Summer,Japan
1601,46,Venezuela,1,3,0,4,2020,Summer,Japan
1602,48,India,1,2,4,7,2020,Summer,Japan
1603,49,Hong Kong,1,2,3,6,2020,Summer,Japan
1604,50,Philippines,1,2,1,4,2020,Summer,Japan
1605,50,Slovakia,1,2,1,4,2020,Summer,Japan
1606,52,South Africa,1,2,0,3,2020,Summer,Japan
1607,53,Austria,1,1,5,7,2020,Summer,Japan
1608,54,Egypt,1,1,4,6,2020,Summer,Japan
1609,55,Indonesia,1,1,3,5,2020,Summer,Japan
1610,56,Ethiopia,1,1,2,4,2020,Summer,Japan
1611,56,Portugal,1,1,2,4,2020,Summer,Japan
1612,58,Tunisia,1,1,0,2,2020,Summer,Japan
1613,59,Estonia,1,0,1,2,2020,Summer,Japan
1614,59,Fiji,1,0,1,2,2020,Summer,Japan
1615,59,Latvia,1,0,1,2,2020,Summer,Japan
1616,59,Thailand,1,0,1,2,2020,Summer,Japan
1617,63,Bermuda,1,0,0,1,2020,Summer,Japan
1618,63,Morocco,1,0,0,1,2020,Summer,Japan
1619,63,Puerto Rico,1,0,0,1,2020,Summer,Japan
1620,66,Colombia,0,4,1,5,2020,Summer,Japan
1621,67,Azerbaijan,0,3,4,7,2020,Summer,Japan
1622,68,Dominican Republic,0,3,2,5,2020,Summer,Japan
1623,69,Armenia,0,2,2,4,2020,Summer,Japan
1624,70,Kyrgyzstan,0,2,1,3,2020,Summer,Japan
1625,71,Mongolia,0,1,3,4,2020,Summer,Japan
1626,72,Argentina,0,1,2,3,2020,Summer,Japan
1627,72,San Marino,0,1,2,3,2020,Summer,Japan
1628,74,Jordan,0,1,1,2,2020,Summer,Japan
1629,74,Malaysia,0,1,1,2,2020,Summer,Japan
1630,74,Nigeria,0,1,1,2,2020,Summer,Japan
1631,77,Bahrain,0,1,0,1,2020,Summer,Japan
1632,77,Lithuania,0,1,0,1,2020,Summer,Japan
1633,77,Namibia,0,1,0,1,2020,Summer,Japan
1634,77,North Macedonia,0,1,0,1,2020,Summer,Japan
1635,77,Saudi Arabia,0,1,0,1,2020,Summer,Japan
1636,77,Turkmenistan,0,1,0,1,2020,Summer,Japan
1637,83,Kazakhstan,0,0,8,8,2020,Summer,Japan
1638,84,Mexico,0,0,4,4,2020,Summer,Japan
1639,85,Finland,0,0,2,2,2020,Summer,Japan
1640,86,Botswana,0,0,1,1,2020,Summer,Japan
1641,86,Burkina Faso,0,0,1,1,2020,Summer,Japan
1642,86,Ghana,0,0,1,1,2020,Summer,Japan
1643,86,Grenada,0,0,1,1,2020,Summer,Japan
1644,86,Ivory Coast,0,0,1,1,2020,Summer,Japan
1645,86,Kuwait,0,0,1,1,2020,Summer,Japan
1646,86,Moldova,0,0,1,1,2020,Summer,Japan
1647,86,Syria,0,0,1,1,2020,Summer,Japan
